"Timestamp","I believe that Covid-19 poses a relevant threat to my personal health and well-being.","I believe that Covid-19 poses a relevant threat to the health and well-being of my loved ones.","I strictly follow the recommendations of my country’s health authority to avoid Covid-19.","I dedicated more time to personal hobbies during lockdown.","I spent more time watching TV during lockdown.","I spent more time browsing the internet during lockdown.","Average number of hours of sleep per night before Covid-19.","Average number of hours of sleep per night after Covid-19.","Average number of cigarettes smoked per day before Covid-19. If none, type 0.","Average number of cigarettes smoked per day after Covid-19. If none, type 0.","Average number of hours per week dedicated to physical activity before Covid-19.","Average number of hours per week dedicated to physical activity after Covid-19.","Average number of hours per week dedicated to personal hobbies before Covid-19.","Average number of hours per week dedicated to personal hobbies after Covid-19.","Average number of minutes per day spent commuting before Covid-19.","Average number of minutes per day spent commuting after Covid-19.","Average number of working hours per day before Covid-19.","Average number of working hours per day after Covid-19.","My workplace transitioned to remote during lockdown.","My work hours were reduced during lockdown.","I experienced loss of income after lockdown went into effect.","If you answered ""yes"" to the previous question, indicate the percentage of income lost.","Gender","Age","City of residence","Marital status","Number of children. If none, type 0.","Profession","You may use this space for additional comments",""
"2020/08/04 9:26:36 pm CET","3","4","4","2","3","4","7","8","0","0","0","0","6","6","1","","8","10","Yes","No","No","","Male","30","Carnide, Lisboa","In a relationship","0","Grad Student","Olá Celina! Bjs, Martim","0"
"2020/08/04 9:49:33 pm CET","3","4","4","2","3","4","7","8","0","0","0","0","6","6","Between 30 and 60 minutes","Less than 30 minutes","8","10","Yes","No","No","","Male","30","Lisboa","In a relationship","0","Grad Student","Additional comments are undervalued",""
"2020/08/04 10:08:05 pm CET","4","4","3","2","3","4","8","6","0","0","2","0","6","5","Between 30 and 60 minutes","Between 30 and 60 minutes","8","8","Yes","No","No","","Female","28","Lisboa","","0","Art gallery assistant","",""
"2020/08/04 10:08:24 pm CET","4","4","3","4","4","4","7","8","0","0","0","0","1","7","Between 30 and 60 minutes","Between 30 and 60 minutes","7","7","Yes","No","Yes","","Female","28","Lisbon","In a civil union","0","Researcher","",""
"2020/08/04 10:16:24 pm CET","3","4","4","4","2","2","8","8","0","0","2","4","4","4","Between 30 and 60 minutes","Between 30 and 60 minutes","8","8","Yes","Yes","No","","Female","33","Lisboa","Single","0","Conservator- restorer","",""
"2020/08/04 10:23:32 pm CET","4","4","4","3","2","3","8","8","0","0","2","0","2","2","Less than 30 minutes","Between 60 and 90 minutes","8","7","Yes","Yes","No","","Female","34","Lisboa ","In a civil union","0","Investigadora","",""
"2020/08/04 10:27:12 pm CET","3","3","4","4","4","4","8","8","0","0","2","2","5","3","Between 30 and 60 minutes","Between 30 and 60 minutes","9","10","Yes","No","No","","Female","41","Lisbon","Single","0","Admin Manager","",""
"2020/08/04 10:27:35 pm CET","3","3","4","4","4","4","8","8","0","0","2","2","7","5","Between 30 and 60 minutes","Less than 30 minutes","8","9","No","Yes","No","","Female","60","Sintra","Single","0","Museus worker gay","",""
"2020/08/04 10:27:42 pm CET","4","4","4","1","2","3","7","8","0","0","2","1","1","0","Between 90 and 120 minutes","Less than 30 minutes","10","10","Yes","No","No","","Male","32","Lisboa","Married","0","Civil Engineer ","After lock down I was working an average of 11-12h / day",""
"2020/08/04 10:31:38 pm CET","3","4","3","1","2","3","9","6","0","0","5","9","4","10","Between 30 and 60 minutes","Less than 30 minutes","5","10","Yes","No","No","","Male","27","Lisbon","In a civil union","0","Lead teacher","Great job Celina :)",""
"2020/08/04 10:36:10 pm CET","1","3","2","4","4","3","8","8","0","0","4","0","2","8","Between 30 and 60 minutes","More than 120 minutes","9","6","Yes","Yes","Yes","30","Male","32","Lisboa","In a civil union","0","Arquiteto Paisagista","",""
"2020/08/04 10:54:38 pm CET","3","3","4","3","1","4","7","7","0","0","2","5","3","3","Between 30 and 60 minutes","Between 30 and 60 minutes","8","8","Yes","Yes","No","","Female","35","Lisboa","In a civil union","0","Conservadora restauradora","",""
"2020/08/04 11:01:49 pm CET","3","3","3","2","2","3","6","7","0","0","4","2","6","8","Between 60 and 90 minutes","Less than 30 minutes","7","6","Yes","No","Yes","20%","Male","28","Sabadell","Single","0","PhD student and singer","",""
"2020/08/04 11:07:33 pm CET","3","4","2","3","3","2","8","8","0","0","6","8","10","10","Between 30 and 60 minutes","Less than 30 minutes","9","6","Yes","No","No","","Female","48","Lisbon","Single","0","researcher","",""
"2020/08/04 11:11:10 pm CET","1","4","3","4","2","2","7","9","0","0","3","4","0","5","More than 120 minutes","Less than 30 minutes","8","4","Yes","Yes","Yes","30%","Male","29","Barcelona","Single","0","Engineer","",""
"2020/08/04 11:19:35 pm CET","4","4","3","1","1","1","5","5","0","0","2","0","4","1","Between 30 and 60 minutes","Less than 30 minutes","9","9","Yes","No","Yes","40%","Male","33","Lisbon","Married","1","Controller","",""
"2020/08/04 11:22:47 pm CET","3","4","3","3","1","4","7","7","2","8","3","1","10","7","Between 60 and 90 minutes","Less than 30 minutes","2","1","Yes","Yes","No","","Male","29","Lisboa","Single","0","Student","",""
"2020/08/04 11:25:25 pm CET","3","4","3","2","2","4","6","6","10","10","0","0","3","3","Less than 30 minutes","Less than 30 minutes","7","7","Yes","No","No","","Male","28","Lisbon","Single","0","Researcher ","",""
"2020/08/04 11:30:56 pm CET","3","4","3","3","3","3","7","6","4","3","1","1","7","7","Less than 30 minutes","Less than 30 minutes","8","10","No","No","No","","Male","29","Portugal","Single","0","Engineer","",""
